zero_index,t_value,rank,prime_p,prime_q,impact_score,phase_cos,pair_str
107,248.10199006014847,1,2,7,-0.1398749461417254,-0.9791246229920779,"(2, 7)"
107,248.10199006014847,2,3,7,-0.09177696461019172,-0.963658128407013,"(3, 7)"
107,248.10199006014847,3,2,17,-0.05880438209277845,-0.9996744955772336,"(2, 17)"
107,248.10199006014847,4,2,23,-0.04043735870876231,-0.9300592503015332,"(2, 23)"
107,248.10199006014847,5,3,17,-0.03918397236463426,-0.9991912952981735,"(3, 17)"
108,249.5736896447072,1,2,5,-0.15870639533997133,-0.7935319766998566,"(2, 5)"
108,249.5736896447072,2,3,7,-0.05332268651349007,-0.5598882083916458,"(3, 7)"
108,249.5736896447072,3,3,11,-0.04701854222580714,-0.7758059467258178,"(3, 11)"
108,249.5736896447072,4,2,19,-0.04663806295332028,-0.8861231961130853,"(2, 19)"
108,249.5736896447072,5,2,13,-0.04507398810405193,-0.585961845352675,"(2, 13)"
109,251.014947795016,1,2,5,-0.15720962089823573,-0.7860481044911786,"(2, 5)"
109,251.014947795016,2,3,5,-0.11149681218456686,-0.8362260913842515,"(3, 5)"
109,251.014947795016,3,2,17,-0.05880694367169241,-0.999718042418771,"(2, 17)"
109,251.014947795016,4,5,7,-0.053410240183242384,-0.9346792032067417,"(5, 7)"
109,251.014947795016,5,3,13,-0.04485137722353309,-0.8746018558588953,"(3, 13)"
110,253.06998674799948,1,2,3,-0.16251866194385284,-0.48755598583155857,"(2, 3)"
110,253.06998674799948,2,2,7,-0.13790210412341727,-0.9653147288639209,"(2, 7)"
110,253.06998674799948,3,3,5,-0.11891589898764855,-0.8918692424073642,"(3, 5)"
110,253.06998674799948,4,2,13,-0.05964175502162801,-0.7753428152811641,"(2, 13)"
110,253.06998674799948,5,5,7,-0.054096067810373405,-0.9466811866815346,"(5, 7)"
111,255.30625645491403,1,2,3,-0.3293485572594477,-0.9880456717783432,"(2, 3)"
111,255.30625645491403,2,3,7,-0.08577970982639158,-0.9006869531771116,"(3, 7)"
111,255.30625645491403,3,2,19,-0.052097551960873414,-0.9898534872565949,"(2, 19)"
111,255.30625645491403,4,3,13,-0.044617711850721206,-0.8700453810890636,"(3, 13)"
111,255.30625645491403,5,3,17,-0.03897840239148109,-0.9939492609827678,"(3, 17)"
112,256.38071369443446,1,2,3,-0.32027097308773267,-0.960812919263198,"(2, 3)"
112,256.38071369443446,2,2,5,-0.15294560014759656,-0.7647280007379827,"(2, 5)"
112,256.38071369443446,3,3,7,-0.08529867601011959,-0.8956360981062558,"(3, 7)"
112,256.38071369443446,4,2,11,-0.08431729494116594,-0.9274902443528252,"(2, 11)"
112,256.38071369443446,5,2,13,-0.05524006741414764,-0.7181208763839192,"(2, 13)"
113,258.6104394915314,1,2,7,-0.1319368513778103,-0.9235579596446722,"(2, 7)"
